county,sub_county,constituency,wards
Narok,Narok South,Narok South,Ololulung'a
Narok,Narok South,Narok South,Maji Moto/Naroosura
Narok,Narok East,Narok East,Suswa
Narok,Narok East,Narok East,Keekonyokie
Narok,Narok East,Narok East,Ildamat
Narok,Narok East,Narok East,Mosiro
Narok,Narok North,Narok North,Melili
Narok,Narok North,Narok North,Olorropil
Narok,Narok North,Narok North,Nkareta
Narok,Narok North,Narok North,Narok Town
Narok,Narok North,Narok North,Olokurto
Narok,Narok North,Narok North,Olposimoru
Narok,Transmara East,Emurua Dikirr,Kapsasian
Narok,Transmara East,Emurua Dikirr,Mogondo
Narok,Transmara East,Emurua Dikirr,Ololmasani
Narok,Transmara East,Emurua Dikirr,Iikerin
Narok,Transmara West,Kilgoris,Lolgorian
Narok,Transmara West,Kilgoris,Kimintet
Narok,Transmara West,Kilgoris,Shankoe
Narok,Transmara West,Kilgoris,Angata Barikoi
Narok,Transmara West,Kilgoris,Keyian
Narok,Transmara West,Kilgoris,Kilgoris Central
Nakuru,Nakuru East,Nakuru Town East,Nakuru East
Nakuru,Nakuru East,Nakuru Town East,Menengai
Nakuru,Nakuru East,Nakuru Town East,Flamingo
Nakuru,Nakuru East,Nakuru Town East,Kivumbuni
Nakuru,Nakuru East,Nakuru Town East,Biashara
Nakuru,Nakuru West,Nakuru Town West,Shaabab
Nakuru,Nakuru West,Nakuru Town West,Rhoda
Nakuru,Nakuru West,Nakuru Town West,Kapkures
Nakuru,Nakuru West,Nakuru Town West,Kaptembwo
Nakuru,Nakuru West,Nakuru Town East,London
Nakuru,Nakuru West,Nakuru Town West,Barut
Nakuru,Nakuru North,Bahati,Bahati
Nakuru,Nakuru North,Bahati,Lanet/Umoja
Nakuru,Nakuru North,Bahati,Kiamaina
Nakuru,Nakuru North,Bahati,Kabatini
Nakuru,Nakuru North,Bahati,Dundori
Nakuru,Rongai,Rongai,Solai
Nakuru,Rongai,Rongai,Mosop
Nakuru,Rongai,Rongai,Visoi
Nakuru,Rongai,Rongai,Soin
Nakuru,Rongai,Rongai,Menengai West
Nakuru,Subukia,Subukia,Kabazi
Nakuru,Subukia,Subukia,Waseges
Nakuru,Subukia,Subukia,Subukia
Nakuru,Kuresoi North,Kuresoi North,Kamara
Nakuru,Kuresoi North,Kuresoi North,Sirikwa
Nakuru,Kuresoi North,Kuresoi North,Nyota
Nakuru,Kuresoi North,Kuresoi North,Kiptororo
Nakuru,Kuresoi South,Kuresoi South,Tinet
Nakuru,Kuresoi South,Kuresoi South,Kiptagich
Nakuru,Kuresoi South,Kuresoi South,Keringet
Nakuru,Kuresoi South,Kuresoi South,Amalo
Nakuru,Gilgil,Gilgil,Murindati
Nakuru,Gilgil,Gilgil,Malewa West
Nakuru,Gilgil,Gilgil,Mbaruk/Eburu
Nakuru,Gilgil,Gilgil,Elementaita
Nakuru,Gilgil,Gilgil,Gilgil
Nakuru,Naivasha,Naivasha,Viwandani
Nakuru,Naivasha,Naivasha,Naivasha East
Nakuru,Naivasha,Naivasha,Olkaria
Nakuru,Naivasha,Naivasha,Maeilla
Nakuru,Naivasha,Naivasha,Mai Mahiu
Nakuru,Naivasha,Naivasha,Lake View
Nakuru,Naivasha,Naivasha,Hellsgate
Nakuru,Naivasha,Naivasha,Biashara
Nakuru,Njoro,Njoro,Njoro
Nakuru,Njoro,Njoro,Lare
Nakuru,Njoro,Njoro,Nessuit
Nakuru,Njoro,Njoro,Kihingo
Nakuru,Njoro,Njoro,Mauche
Nakuru,Njoro,Njoro,Mau Narok
Nakuru,Molo,Molo,Molo
Nakuru,Molo,Molo,Turi
Nakuru,Molo,Molo,Elburgon
Nakuru,Molo,Molo,Mariashoni
Laikipia,Laikipia North,Laikipia North,Mugogodo East
Laikipia,Laikipia North,Laikipia North,Mugogodo West
Laikipia,Laikipia North,Laikipia North,Segera
Laikipia,Laikipia North,Laikipia North,Sosian
Laikipia,Laikipia East,Laikipia North,Umande
Laikipia,Laikipia East,Laikipia East,Nanyuki
Laikipia,Laikipia East,Laikipia East,Thingithu
Laikipia,Laikipia East,Laikipia East,Tigithi
Laikipia,Laikipia East,Laikipia East,Ngobit
Laikipia,Laikipia West,Laikipia West,Salama
Laikipia,Laikipia West,Laikipia West,Igwamiti
Laikipia,Laikipia West,Laikipia West,Marmanet
Laikipia,Laikipia West,Laikipia West,Githiga
Laikipia,Laikipia West,Laikipia West,Rumuruti Township
Laikipia,Laikipia West,Laikipia West,Ol-moran
Baringo,Koibatek,Eldama Ravine,Koibatek
Baringo,Koibatek,Eldama Ravine,Lembus/Perkerra
Baringo,Koibatek,Eldama Ravine,Mumberes/Maji Mazuri
Baringo,Koibatek,Eldama Ravine,Ravine
Baringo,Koibatek,Eldama Ravine,Lembus Kwen
Baringo,Koibatek,Eldama Ravine,Lembus
Baringo,Mogotio,Mogotio,Kisanana
Baringo,Mogotio,Mogotio,Emining
Baringo,Mogotio,Mogotio,Mogotio
Baringo,Marigat,Baringo South,Mukutani
Baringo,Marigat,Baringo South,Mochongoi
Baringo,Marigat,Baringo South,Iichamus
Baringo,Marigat,Baringo South,Marigat
Baringo,Baringo Central,Baringo Central,Kapropita
Baringo,Baringo Central,Baringo Central,Ewalel/Chapchap
Baringo,Baringo Central,Baringo Central,Tenges
Baringo,Baringo Central,Baringo Central,Sacho
Baringo,Baringo Central,Baringo Central,Kabarnet
Baringo,Baringo North,Baringo North,Bartabwa
Baringo,Baringo North,Baringo North,Saimo/Soi
Baringo,Baringo North,Baringo North,Saimoi/Kipsaraman
Baringo,Baringo North,Baringo North,Kabartonjo
Baringo,Baringo North,Baringo North,Barwessa
Baringo,Tiaty East,Tiaty,Churo/Amaya
Baringo,Tiaty East,Tiaty,Tangulbei/Korossi
Baringo,Tiaty East,Tiaty,Loiyamorok
Baringo,Tiaty East,Tiaty,Silale
Baringo,East Pokot,Tiaty,Ribkwo
Baringo,East Pokot,Tiaty,Kolowa
Baringo,East Pokot,Tiaty,Tirioko
Nandi,Mosop,Mosop,Sangalo/Kebulonik
Nandi,Mosop,Mosop,Kabisaga
Nandi,Mosop,Mosop,Ndalat
Nandi,Mosop,Mosop,Kabiyet
Nandi,Mosop,Mosop,Kurgung/Surungai
Nandi,Mosop,Mosop,Kipkaren
Nandi,Mosop,Mosop,Chepterwai
Nandi,Emgwen,Emgwen,Kilibwoni
Nandi,Emgwen,Emgwen,Kapsabet
Nandi,Emgwen,Emgwen,Kapkangani
Nandi,Emgwen,Emgwen,Chepkumia
Nandi,Chesumei,Chesumei,Kiptuiya
Nandi,Chesumei,Chesumei,Kaptel/Kamoiywo
Nandi,Chesumei,Chesumei,Lelmoko/Ngechek
Nandi,Chesumei,Chesumei,Kosirai
Nandi,Chesumei,Chesumei,Chemundu/Kapng'etunyi
Nandi,Nandi Hills,Nandi Hills,Kapchorua
Nandi,Nandi Hills,Nandi Hills,Ol'lessos
Nandi,Nandi Hills,Nandi Hills,Chepkunyuk
Nandi,Nandi Hills,Nandi Hills,Nandi Hills
Nandi,Aldai,Aldai,Koyo/Ndurio
Nandi,Aldai,Aldai,Kaptumo/Kaboi
Nandi,Aldai,Aldai,Kobujoi
Nandi,Aldai,Aldai,Kemeloi-maraba
Nandi,Aldai,Aldai,Terik
Nandi,Aldai,Aldai,Kabwareng
Nandi,Tinderet,Tinderet,Kapsimwotwo
Nandi,Tinderet,Tinderet,Chemelil/Chemase
Nandi,Tinderet,Tinderet,Tinderet
Nandi,Tinderet,Tinderet,Songhor/Soba
Elgeyo Marakwet,Keiyo South,Keiyo South,Metkei
Elgeyo Marakwet,Keiyo South,Keiyo South,Kabiemit
Elgeyo Marakwet,Keiyo South,Keiyo South,Soy South
Elgeyo Marakwet,Keiyo South,Keiyo South,Soy North
Elgeyo Marakwet,Keiyo South,Keiyo South,Chepkorio
Elgeyo Marakwet,Keiyo South,Keiyo South,Kaptarakwa
Elgeyo Marakwet,Keiyo North,Keiyo North,Tambach
Elgeyo Marakwet,Keiyo North,Keiyo North,Kapchemutwa
Elgeyo Marakwet,Keiyo North,Keiyo North,Kamariny
Elgeyo Marakwet,Keiyo North,Keiyo North,Emsoo
Elgeyo Marakwet,Marakwet West,Marakwet West,Arror
Elgeyo Marakwet,Marakwet West,Marakwet West,Kapsowar
Elgeyo Marakwet,Marakwet West,Marakwet West,Moiben/Kuserwo
Elgeyo Marakwet,Marakwet West,Marakwet West,Cherang'any/Chebororwa
Elgeyo Marakwet,Marakwet West,Marakwet West,Sengwer
Elgeyo Marakwet,Marakwet West,Marakwet West,Lelan
Elgeyo Marakwet,Marakwet East,Marakwet East,Embobut/Embulot
Elgeyo Marakwet,Marakwet East,Marakwet East,Endo
Elgeyo Marakwet,Marakwet East,Marakwet East,Sambirir
Elgeyo Marakwet,Marakwet East,Marakwet East,Kapyego
Uasin Gishu,Kesses,Kesses,Tarakwa
Uasin Gishu,Kesses,Kesses,Tulwet/Chuiyat
Uasin Gishu,Kesses,Kesses,Cheptiret/Kipchamo
Uasin Gishu,Kesses,Kesses,Racecourse
Uasin Gishu,Kapseret,Kapseret,Langas
Uasin Gishu,Kapseret,Kapseret,Megun
Uasin Gishu,Kapseret,Kapseret,Ngeria
Uasin Gishu,Kapseret,Kapseret,Kipkenyo
Uasin Gishu,Kapseret,Kapseret,Simat/Kapseret
Uasin Gishu,Ainabkoi,Ainabkoi,Ainabkoi/Olare
Uasin Gishu,Ainabkoi,Ainabkoi,Kaptagat
Uasin Gishu,Ainabkoi,Ainabkoi,Kapsoya
Uasin Gishu,Moiben,Moiben,Kimumu
Uasin Gishu,Moiben,Moiben,Moiben
Uasin Gishu,Moiben,Moiben,Karuna/Meibeki
Uasin Gishu,Moiben,Moiben,Sergoit
Uasin Gishu,Moiben,Moiben,Tembelio
Uasin Gishu,Turbo,Turbo,Huruma
Uasin Gishu,Turbo,Turbo,Kapsaos
Uasin Gishu,Turbo,Turbo,Kiplombe
Uasin Gishu,Turbo,Turbo,Kamagut
Uasin Gishu,Turbo,Turbo,Tapsagoi
Uasin Gishu,Turbo,Turbo,Ngenyilel
Uasin Gishu,Soy,Soy,Kuinet/Kapsuswa
Uasin Gishu,Soy,Soy,Soy
Uasin Gishu,Soy,Soy,Kipsomba
Uasin Gishu,Soy,Soy,Segeroi/Barsombe
Uasin Gishu,Soy,Soy,Ziwa
Uasin Gishu,Soy,Soy,Kapkures
Uasin Gishu,Soy,Soy,Moi's Bridge
Trans Nzoia,Cherangany,Cherangany,Sitatunga
Trans Nzoia,Cherangany,Cherangany,Chepsiro/Kiptoror
Trans Nzoia,Cherangany,Cherangany,Cherangany/Suwerwa
Trans Nzoia,Cherangany,Cherangany,Motosiet
Trans Nzoia,Cherangany,Cherangany,Kaplamai
Trans Nzoia,Cherangany,Cherangany,Makutano
Trans Nzoia,Cherangany,Cherangany,Sinyerere
Trans Nzoia,Kiminini,Kiminini,Nabiswa
Trans Nzoia,Kiminini,Kiminini,Sikhendu
Trans Nzoia,Kiminini,Kiminini,Hospital
Trans Nzoia,Kiminini,Kiminini,Sirende
Trans Nzoia,Kiminini,Kiminini,Waitaluk
Trans Nzoia,Kiminini,Kiminini,Kiminini
Trans Nzoia,Saboti,Saboti,Machewa
Trans Nzoia,Saboti,Saboti,Saboti
Trans Nzoia,Saboti,Saboti,Tuwani
Trans Nzoia,Saboti,Saboti,Matisi
Trans Nzoia,Saboti,Saboti,Kinyoro
Trans Nzoia,Endebess,Endebess,Matumbei
Trans Nzoia,Endebess,Endebess,Endebess
Trans Nzoia,Endebess,Endebess,Chepchoina
Trans Nzoia,Kwanza,Kwanza,Bidii
Trans Nzoia,Kwanza,Kwanza,Keiyo
Trans Nzoia,Kwanza,Kwanza,Kwanza
Trans Nzoia,Kwanza,Kwanza,Kapomboi
Samburu,Samburu East,Samburu East,Wamba North
Samburu,Samburu East,Samburu East,Wamba East
Samburu,Samburu East,Samburu East,Wamba West
Samburu,Samburu East,Samburu East,Waso
Samburu,Samburu North,Samburu North,Baawa
Samburu,Samburu North,Samburu North,Angata Nayokie
Samburu,Samburu North,Samburu North,Nyiro
Samburu,Samburu North,Samburu North,Ndoto
Samburu,Samburu North,Samburu North,Nachola
Samburu,Samburu North,Samburu North,El-barta
Samburu,Samburu Central,Samburu Central,Porro
Samburu,Samburu Central,Samburu Central,Loosuk
Samburu,Samburu Central,Samburu Central,Maralal
Samburu,Samburu Central,Samburu Central,Suguta Marmar
Samburu,Samburu Central,Samburu Central,Lodokejek
West Pokot,Pokot South,Pokot South,Tapach
West Pokot,Pokot South,Pokot South,Lelan
West Pokot,KIPKOMO,Pokot South,Batei
West Pokot,KIPKOMO,Pokot South,Chepareria
West Pokot,Pokot North,Kacheliba,Alale
West Pokot,Pokot North,Kacheliba,Kiwawa
West Pokot,KACHELIBA,Kacheliba,Kapchok
West Pokot,Pokot North,Kacheliba,Kasei
West Pokot,KACHELIBA,Kacheliba,Kodich
West Pokot,KACHELIBA,Kacheliba,Suam
West Pokot,Pokot Central,Sigor,Wei Wei
West Pokot,Pokot Central,Sigor,Lomut
West Pokot,Pokot Central,Sigor,Masool
West Pokot,Pokot Central,Sigor,Sekerr
West Pokot,West Pokot,Kapenguria,Sook
West Pokot,West Pokot,Kapenguria,Endugh
West Pokot,West Pokot,Kapenguria,Siyoi
West Pokot,West Pokot,Kapenguria,Mnagei
West Pokot,West Pokot,Kapenguria,Kapenguria
West Pokot,West Pokot,Kapenguria,Riwo
Turkana,Turkana East,Turkana East,Lokori/Kochodin
Turkana,Turkana East,Turkana East,Katilia
Turkana,Turkana East,Turkana East,Kapedo/Napeitom
Turkana,Turkana South,Turkana South,Lokichar
Turkana,Turkana South,Turkana South,Kalapata
Turkana,Turkana South,Turkana South,Lobokat
Turkana,Turkana South,Turkana South,Katilu
Turkana,Turkana South,Turkana South,Kaputir
Turkana,Loima,Loima,Lokiriama/Lorengippi
Turkana,Loima,Loima,Loima
Turkana,Loima,Loima,Turkwel
Turkana,Loima,Loima,Kotaruk/Lobei
Turkana,Turkana Central,Turkana Central,Kanamkemer
Turkana,Turkana Central,Turkana Central,Lodwar Township
Turkana,Turkana Central,Turkana Central,Kalokol
Turkana,Turkana Central,Turkana Central,Kang'atotha
Turkana,Turkana Central,Turkana Central,Kerio Delta
Turkana,Turkana West,Turkana West,Nanaam
Turkana,Turkana West,Turkana West,Lokichoggio
Turkana,Turkana West,Turkana West,Kalobeyei
Turkana,Turkana West,Turkana West,Songot
Turkana,Turkana West,Turkana West,Letea
Turkana,Turkana West,Turkana West,Lopur
Turkana,Turkana West,Turkana West,Kakuma
Turkana,Turkana North,Turkana North,Nakalale
Turkana,Kibish,Turkana North,Kibish
Turkana,Turkana North,Turkana North,Kaaleng/Kaikor
Turkana,Turkana North,Turkana North,Lapur
Turkana,Turkana North,Turkana North,Lakezone
Turkana,Turkana North,Turkana North,Kaeris
Kiambu,Lari,Lari,Lari/Kirenga
Kiambu,Lari,Lari,Kamburu
Kiambu,Lari,Lari,Nyanduma
Kiambu,Lari,Lari,Kijabe
Kiambu,Lari,Lari,Kinale
Kiambu,Limuru,Limuru,Ngecha Tigoni
Kiambu,Limuru,Limuru,Limuru East
Kiambu,Limuru,Limuru,Ndeiya
Kiambu,Limuru,Limuru,Limuru Central
Kiambu,Limuru,Limuru,Bibirioni
Kiambu,Kikuyu,Kikuyu,Kinoo
Kiambu,Kikuyu,Kikuyu,Kikuyu
Kiambu,Kikuyu,Kikuyu,Sigona
Kiambu,Kikuyu,Kikuyu,Nachu
Kiambu,Kikuyu,Kikuyu,Karai
Kiambu,Kabete,Kabete,Uthiru
Kiambu,Kabete,Kabete,Kabete
Kiambu,Kabete,Kabete,Nyadhuna
Kiambu,Kabete,Kabete,Muguga
Kiambu,Kabete,Kabete,Gitaru
Kiambu,Kiambaa,Kiambaa,Kihara
Kiambu,Kiambaa,Kiambaa,Muchatha
Kiambu,Kiambaa,Kiambaa,Ndenderu
Kiambu,Kiambaa,Kiambaa,Karuri
Kiambu,Kiambaa,Kiambaa,Cianda
Kiambu,Kiambu Town,Kiambu,Township
Kiambu,Kiambu Town,Kiambu,Riabai
Kiambu,Kiambu Town,Kiambu,Ndumberi
Kiambu,Kiambu Town,Kiambu,Ting'ang'a
Kiambu,Githunguri,Githunguri,Komothai
Kiambu,Githunguri,Githunguri,Ngewa
Kiambu,Githunguri,Githunguri,Ikinu
Kiambu,Githunguri,Githunguri,Githiga
Kiambu,Githunguri,Githunguri,Githunguri
Kiambu,Ruiru,Ruiru,Mwihoko
Kiambu,Ruiru,Ruiru,Mwiki
Kiambu,Ruiru,Ruiru,Kiuu
Kiambu,Ruiru,Ruiru,Kahawa Wendani
Kiambu,Ruiru,Ruiru,Kahawa/Sukari
Kiambu,Ruiru,Ruiru,Gatongora
Kiambu,Ruiru,Ruiru,Biashara
Kiambu,Ruiru,Ruiru,Gitothua
Kiambu,Thika Town,Thika Town,Ngoliba
Kiambu,Thika Town,Thika Town,Gatuanyaga
Kiambu,Thika Town,Thika Town,Hospital
Kiambu,Thika Town,Thika Town,Kamenu
Kiambu,Thika Town,Thika Town,Township
Kiambu,Juja,Juja,Kalimoni
Kiambu,Juja,Juja,Witeithie
Kiambu,Juja,Juja,Juja
Kiambu,Juja,Juja,Theta
Kiambu,Juja,Juja,Murera
Kiambu,Gatundu North,Gatundu North,Mang'u
Kiambu,Gatundu North,Gatundu North,Chania
Kiambu,Gatundu North,Gatundu North,Githobokoni
Kiambu,Gatundu North,Gatundu North,Gituamba
Kiambu,Gatundu South,Gatundu South,Ngenda
Kiambu,Gatundu South,Gatundu South,Ndarugu
Kiambu,Gatundu South,Gatundu South,Kiganjo
Kiambu,Gatundu South,Gatundu South,Kiamwangi
Muranga,Gatanga,Gatanga,Kariara
Muranga,Gatanga,Gatanga,Gatanga
Muranga,Gatanga,Gatanga,Kihumbu-ini
Muranga,Gatanga,Gatanga,Mugumo-ini
Muranga,Gatanga,Gatanga,Kakuzi/Mitubiri
Muranga,Gatanga,Gatanga,Ithanga
Muranga,Kandara,Kandara,Ruchu
Muranga,Kandara,Kandara,Ithiru
Muranga,Kandara,Kandara,Gaichanjiru
Muranga,Kandara,Kandara,Kagundu-ini
Muranga,Kandara,Kandara,Muruka
Muranga,Kandara,Kandara,Ng'araria
Muranga,muranga south,Maragwa,Nginda
Muranga,muranga south,Maragwa,Ichagaki
Muranga,muranga south,Maragwa,Kamahuha
Muranga,muranga south,Maragwa,Kambiti
Muranga,muranga south,Maragwa,Makuyu
Muranga,muranga south,Maragwa,Kimorori/Wempa
Muranga,Kigumo,Kigumo,Kinyona
Muranga,Kigumo,Kigumo,Kangari
Muranga,Kigumo,Kigumo,Kigumo
Muranga,Kigumo,Kigumo,Muthithi
Muranga,Kigumo,Kigumo,Kahumbu
Muranga,Kiharu,Kiharu,Gaturi
Muranga,Kiharu,Kiharu,Murarandia
Muranga,Kiharu,Kiharu,Township
Muranga,Kiharu,Kiharu,Mbiri
Muranga,Kiharu,Kiharu,Mugoiri
Muranga,Kiharu,Kiharu,Wangu
Muranga,Mathioya,Mathioya,Kamacharia
Muranga,Mathioya,Mathioya,Kiru
Muranga,Mathioya,Mathioya,Gitugi
Muranga,Kangema,Kangema,Rwathia
Muranga,Kangema,Kangema,Muguru
Muranga,Kangema,Kangema,Kanyenya-ini
Kirinyaga,Kirinyaga Central,Kirinyaga Central,Inoi
Kirinyaga,Kirinyaga Central,Kirinyaga Central,Kerugoya
Kirinyaga,Kirinyaga Central,Kirinyaga Central,Kanyekini
Kirinyaga,Kirinyaga Central,Kirinyaga Central,Mutira
Kirinyaga,Kirinyaga West,Ndia,Kariti
Kirinyaga,Kirinyaga West,Ndia,Kiine
Kirinyaga,Kirinyaga West,Ndia,Mukure
Kirinyaga,Kirinyaga East,Gichugu,Karumandi
Kirinyaga,Kirinyaga East,Gichugu,Ngariama
Kirinyaga,Kirinyaga East,Gichugu,Njukiine
Kirinyaga,Kirinyaga East,Gichugu,Baragwi
Kirinyaga,Kirinyaga East,Gichugu,Kabare
Kirinyaga,Kirinyaga South,Mwea,Tebere
Kirinyaga,Kirinyaga South,Mwea,Gathigiriri
Kirinyaga,Kirinyaga South,Mwea,Murinduko
Kirinyaga,Kirinyaga South,Mwea,Nyangati
Kirinyaga,Kirinyaga North/Mwea West,Mwea,Wamumu
Kirinyaga,Kirinyaga North/Mwea West,Mwea,Thiba
Kirinyaga,Kirinyaga North/Mwea West,Mwea,Kangai
Kirinyaga,Kirinyaga North/Mwea West,Mwea,Mutithi
Nyeri,Nyeri Central,Nyeri Town,Kamakwa/Mukaro
Nyeri,Nyeri Central,Nyeri Town,Ruring'u
Nyeri,Nyeri Central,Nyeri Town,Gatitu/Muruguru
Nyeri,Nyeri Central,Nyeri Town,Rware
Nyeri,Nyeri Central,Nyeri Town,Kiganjo/Mathari
Nyeri,Mukurweini,Mukurweini,Mukurwe-ini Central
Nyeri,Mukurweini,Mukurweini,Mukurwe-ini West
Nyeri,Mukurweini,Mukurweini,Rugi
Nyeri,Mukurweini,Mukurweini,Gikondi
Nyeri,Nyeri South,Nyeri South,Karima
Nyeri,Nyeri South,Nyeri South,Chinga
Nyeri,Nyeri South,Nyeri South,Iria-ini
Nyeri,Nyeri South,Nyeri South,Mahiga
Nyeri,Mathira East,Mathira,Karatina Town
Nyeri,Mathira West,Mathira,Kirimukuyu
Nyeri,Mathira East,Mathira,Konyu
Nyeri,Mathira East,Mathira,Iriaini
Nyeri,Mathira East,Mathira,Magutu
Nyeri,Mathira West,Mathira,Ruguru
Nyeri,Kieni East,Kieni,Gakawa
Nyeri,Kieni East,Kieni,Kabaru
Nyeri,Kieni East,Kieni,Thegu River
Nyeri,Kieni West,Kieni,Gatarakwa
Nyeri,Kieni West,Kieni,Mugunda
Nyeri,Kieni West,Kieni,Mwiyogo/Endarasha
Nyeri,Kieni East,Kieni,Naromoru/Kiamathaga
Nyeri,Kieni West,Kieni,Mweiga
Nyeri,Tetu,Tetu,Aguthi-gaaki
Nyeri,Tetu,Tetu,Wamagana
Nyeri,Tetu,Tetu,Dedan Kimathi
Nyandarua,Ndaragwa,Ndaragwa,Shamata
Nyandarua,Ndaragwa,Ndaragwa,Central
Nyandarua,Ndaragwa,Ndaragwa,Kiritta
Nyandarua,Ndaragwa,Ndaragwa,Leshau/Pondo
Nyandarua,Oljoroorok,Oljorook,Charagita
Nyandarua,Oljoroorok,Oljorook,Weru
Nyandarua,Oljoroorok,Oljorook,Gatimu
Nyandarua,Oljoroorok,Oljorook,Gathanji
Nyandarua,Olkalou,Ol Kalou,Rurii
Nyandarua,Olkalou,Ol Kalou,Kaimbaga
Nyandarua,Olkalou,Ol Kalou,Mirangine
Nyandarua,Olkalou,Ol Kalou,Kanjuiri Range
Nyandarua,Olkalou,Ol Kalou,Karau
Nyandarua,Kipipiri,Kipipiri,Githioro
Nyandarua,Kipipiri,Kipipiri,Geta
Nyandarua,Kipipiri,Kipipiri,Kipipiri
Nyandarua,Kipipiri,Kipipiri,Wanjohi
Nyandarua,Kinangop,Kinangop,Magumu
Nyandarua,Kinangop,Kinangop,Githabai
Nyandarua,Kinangop,Kinangop,Nyakio
Nyandarua,Kinangop,Kinangop,Njabani/Kiburu
Nyandarua,Kinangop,Kinangop,Murungaru
Nyandarua,Kinangop,Kinangop,North Kinangop
Nyandarua,Kinangop,Kinangop,Gathara
Nyandarua,Kinangop,Kinangop,Engineer
Makueni,Kibwezi East,Kibwezi East,Ivingoni/Nzambani
Makueni,Kibwezi East,Kibwezi East,Thange
Makueni,Kibwezi East,Kibwezi East,Mtito Andei
Makueni,Kibwezi East,Kibwezi East,Masongaleni
Makueni,Kibwezi West,Kibwezi West,Emali/Mulala
Makueni,Kibwezi West,Kibwezi West,Nguu/Masumba
Makueni,Kibwezi West,Kibwezi West,Kikumbulyu South
Makueni,Kibwezi West,Kibwezi West,Kikumbulyu North
Makueni,Kibwezi West,Kibwezi West,Nguumo
Makueni,Kibwezi West,Kibwezi West,Makindu
Makueni,Makueni,Makueni,Mbitini
Makueni,Makueni,Makueni,Nzaui/Kilili/Kalamba
Makueni,Makueni,Makueni,Kathonzweni
Makueni,Makueni,Makueni,Kitise/Kithuki
Makueni,Makueni,Makueni,Mavindini
Makueni,Makueni,Makueni,Muvau/Kikumini
Makueni,Makueni,Makueni,Wote
Makueni,Kaiti,Kaiti,Ilima
Makueni,Kaiti,Kaiti,Kilungu
Makueni,Kaiti,Kaiti,Kee
Makueni,Kaiti,Kaiti,Ukia
Makueni,Kilome,Kilome,Kima Kiu/Kalanzoni
Makueni,Kilome,Kilome,Mukaa
Makueni,Kilome,Kilome,Kasikeu
Makueni,Mbooni,Mbooni,Kalawa
Makueni,Mbooni,Mbooni,Waia-kako
Makueni,Mbooni,Mbooni,Kiteta-kisau
Makueni,Mbooni,Mbooni,Kithungo/Kitundu
Makueni,Mbooni,Mbooni,Mbooni
Makueni,Mbooni,Mbooni,Tulimani
Machakos,Mwala,Mwala,Kibauni
Machakos,Mwala,Mwala,Wamunyu
Machakos,Mwala,Mwala,Muthetheni
Machakos,Mwala,Mwala,Masii
Machakos,Mwala,Mwala,Makutano/Mwala
Machakos,Mwala,Mwala,Mbiuni
Machakos,Kalama,Machakos Town,Kola
Machakos,Machakos,Machakos Town,Muvuti/Kiima-kimwe
Machakos,Machakos,Machakos Town,Mumbuni North
Machakos,Machakos,Machakos Town,Machakos Central
Machakos,Machakos,Machakos Town,Mutituni
Machakos,Machakos,Machakos Town,Mua
Machakos,Kalama,Machakos Town,Kalama
Machakos,Athi River,Mavoko,Syokimau/Mulolongo
Machakos,Athi River,Mavoko,Muthwani
Machakos,Athi River,Mavoko,Kinanie
Machakos,Athi River,Mavoko,Athi River
Machakos,Kathiani,Kathiani,Lower Kaewa/Kaani
Machakos,Kathiani,Kathiani,Upper Kaewa/Iveti
Machakos,Kathiani,Kathiani,Kathiani Central
Machakos,Kathiani,Kathiani,Mitamboni
Machakos,Matungulu,Matungulu,Kyeleni
Machakos,Matungulu,Matungulu,Matungulu West
Machakos,Matungulu,Matungulu,Matungulu East
Machakos,Matungulu,Matungulu,Matungulu North
Machakos,Matungulu,Matungulu,Tala
Machakos,Kangundo,Kangundo,Kangundo West
Machakos,Kangundo,Kangundo,Kangundo East
Machakos,Kangundo,Kangundo,Kangundo Central
Machakos,Kangundo,Kangundo,Kangundo North
Machakos,Yatta,Yatta,Katangi
Machakos,Yatta,Yatta,Ikombe
Machakos,Yatta,Yatta,Kithimani
Machakos,Yatta,Yatta,Matuu
Machakos,Yatta,Yatta,Ndalani
Machakos,Masinga,Masinga,Ndithini
Machakos,Masinga,Masinga,Muthesya
Machakos,Masinga,Masinga,Ekalakala
Machakos,Masinga,Masinga,Masinga Central
Machakos,Masinga,Masinga,Kivaa
Kitui,Kitui South,Kitui South,Athi
Kitui,Kitui South,Kitui South,Kanziku
Kitui,Kitui South,Kitui South,Ikutha
Kitui,Kitui South,Kitui South,Mutha
Kitui,Kitui South,Kitui South,Mutomo
Kitui,Kitui South,Kitui South,Ikanga/Kyatune
Kitui,Kitui East,Kitui East,Mutitu/Kaliku
Kitui,Kitui East,Kitui East,Endau/Malalani
Kitui,Kitui East,Kitui East,Voo/Kyamatu
Kitui,Kitui East,Kitui East,Chuluni
Kitui,Kitui East,Kitui East,Nzambani
Kitui,Kitui East,Kitui East,Zombe/Mwitika
Kitui,Kitui Central,Kitui Central,Kyangwithya East
Kitui,Kitui Central,Kitui Central,Mulango
Kitui,Kitui Central,Kitui Central,Kyangwithya West
Kitui,Kitui Central,Kitui Central,Township
Kitui,Kitui Central,Kitui Central,Miambani
Kitui,Kitui Rural,Kitui Central,Kanyangi
Kitui,Kitui Rural,Kitui Rural,Kwavonza/Yatta
